"任务ID","任务定义ID","任务名称","舱位","计划开始时间","进入dispatch前的任务开始时间","计划结束时间","预计结束时间","实际开始时间","实际结束时间","客舱关舱门时间","货舱关舱门时间","客梯撤离时间","gateClosingTime","到达航班号","出发航班号","航班类型","机型类型","到达航班ID","到达航班计划落地时间","到达航班预计落地时间","进入dispatch前到达航班计划落地时间","进入dispatch前到达航班预计落地时间","出发航班ID","出发航班计划起飞时间","出发航班预计起飞时间","进入dispatch前出发航班计划起飞时间","进入dispatch前出发航班预计起飞时间","航站楼","区域","机位","登机口","其他位置信息","任务资质要求","员工编号","人员姓名","车牌号","关联任务ID","任务异常备注","进/出港","任务装卸货量","任务装卸体积","任务装卸件数","任务最大重叠时间","是否为算法分配人员","是否允许双机"
"8a69c2fb9a4879b0019aa1d573eb4342","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:45:00","2025-11-21 00:45:00","2025-11-21 01:15:00","2025-11-21 01:15:00",,,,,,,"FU6602",,"航后","窄体","8a69eb009a363b11019a9baab9ef2374","2025-11-21 00:50:00","2025-11-21 00:45:00","2025-11-21 00:50:00","2025-11-21 00:45:00",,,,,,"T1",,"19","19",,"",,,,,,"进",,"0",,,,"Y"
"8a69c2fb9a4879b0019aa1d573eb4343","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:45:00","2025-11-21 00:45:00","2025-11-21 01:15:00","2025-11-21 01:15:00",,,,,,,"FU6602",,"航后","窄体","8a69eb009a363b11019a9baab9ef2374","2025-11-21 00:50:00","2025-11-21 00:45:00","2025-11-21 00:50:00","2025-11-21 00:45:00",,,,,,"T1",,"19","19",,"",,,,,,"进",,"0",,,,"Y"
"8a69c2fb9a4879b0019aa1d573eb4344","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:45:00","2025-11-21 00:45:00","2025-11-21 01:15:00","2025-11-21 01:15:00",,,,,,,"FU6602",,"航后","窄体","8a69eb009a363b11019a9baab9ef2374","2025-11-21 00:50:00","2025-11-21 00:45:00","2025-11-21 00:50:00","2025-11-21 00:45:00",,,,,,"T1",,"19","19",,"",,,,,,"进",,"0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfea78e0","491b6de78f284b2086f61689446dd318","出港装机",,"2025-11-21 07:10:00","2025-11-21 07:10:00","2025-11-21 07:40:00","2025-11-21 07:40:00",,,"2025-11-21 08:00:00","2025-11-21 07:54:00","2025-11-21 08:02:00","2025-11-21 07:49:56",,"FU6531","始发","窄体",,,,,,"8a69eb009a363b11019aa09d49ae266d","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","T1",,"23","105",,"",,,,,,"出","0","0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfea78e1","491b6de78f284b2086f61689446dd318","出港装机",,"2025-11-21 07:10:00","2025-11-21 07:10:00","2025-11-21 07:40:00","2025-11-21 07:40:00",,,"2025-11-21 08:00:00","2025-11-21 07:54:00","2025-11-21 08:02:00","2025-11-21 07:49:56",,"FU6531","始发","窄体",,,,,,"8a69eb009a363b11019aa09d49ae266d","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","T1",,"23","105",,"",,,,,,"出","0","0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfea78e2","491b6de78f284b2086f61689446dd318","出港装机",,"2025-11-21 07:10:00","2025-11-21 07:10:00","2025-11-21 07:40:00","2025-11-21 07:40:00",,,"2025-11-21 08:00:00","2025-11-21 07:54:00","2025-11-21 08:02:00","2025-11-21 07:49:56",,"FU6531","始发","窄体",,,,,,"8a69eb009a363b11019aa09d49ae266d","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","2025-11-21 08:10:00","T1",,"23","105",,"",,,,,,"出","0","0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfea78e3","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 08:22:00","2025-11-21 08:22:00","2025-11-21 08:58:00","2025-11-21 08:58:00",,,"2025-11-21 09:07:00","2025-11-21 09:04:00","2025-11-21 09:07:00","2025-11-21 09:05:41","FM9265","FM9266","短过站","宽体","8a69eb009a363b11019aa09d49b02732","2025-11-21 08:30:00","2025-11-21 08:22:00","2025-11-21 08:30:00","2025-11-21 08:22:00","8a69eb009a363b11019aa09d49b0272c","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","T1",,"8","8",,"",,,,,,"进",,"0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfeb78e4","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 08:22:00","2025-11-21 08:22:00","2025-11-21 08:58:00","2025-11-21 08:58:00",,,"2025-11-21 09:07:00","2025-11-21 09:04:00","2025-11-21 09:07:00","2025-11-21 09:05:41","FM9265","FM9266","短过站","宽体","8a69eb009a363b11019aa09d49b02732","2025-11-21 08:30:00","2025-11-21 08:22:00","2025-11-21 08:30:00","2025-11-21 08:22:00","8a69eb009a363b11019aa09d49b0272c","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","T1",,"8","8",,"",,,,,,"进",,"0",,,,"Y"
"8a69c2fb9a4879b0019aa36cdfeb78e5","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 08:22:00","2025-11-21 08:22:00","2025-11-21 08:58:00","2025-11-21 08:58:00",,,"2025-11-21 09:07:00","2025-11-21 09:04:00","2025-11-21 09:07:00","2025-11-21 09:05:41","FM9265","FM9266","短过站","宽体","8a69eb009a363b11019aa09d49b02732","2025-11-21 08:30:00","2025-11-21 08:22:00","2025-11-21 08:30:00","2025-11-21 08:22:00","8a69eb009a363b11019aa09d49b0272c","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","2025-11-21 09:20:00","T1",,"8","8",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa1a321871bf3","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:42:00","2025-11-21 00:42:00","2025-11-21 01:12:00","2025-11-21 01:12:00",,,,,,,"FU6552",,"航后","窄体","8a69eb009a363b11019a9baab9ef2373","2025-11-21 00:40:00","2025-11-21 00:42:00","2025-11-21 00:40:00","2025-11-21 00:42:00",,,,,,"T1",,"9","9",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa1a321871bf4","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:42:00","2025-11-21 00:42:00","2025-11-21 01:12:00","2025-11-21 01:12:00",,,,,,,"FU6552",,"航后","窄体","8a69eb009a363b11019a9baab9ef2373","2025-11-21 00:40:00","2025-11-21 00:42:00","2025-11-21 00:40:00","2025-11-21 00:42:00",,,,,,"T1",,"9","9",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa1a321871bf5","ca4b450ef021406ab4ea1f944ffb2007","进港卸机",,"2025-11-21 00:42:00","2025-11-21 00:42:00","2025-11-21 01:12:00","2025-11-21 01:12:00",,,,,,,"FU6552",,"航后","窄体","8a69eb009a363b11019a9baab9ef2373","2025-11-21 00:40:00","2025-11-21 00:42:00","2025-11-21 00:40:00","2025-11-21 00:42:00",,,,,,"T1",,"9","9",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa3ccf1d77452","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 10:18:00","2025-11-21 10:18:00","2025-11-21 10:54:00","2025-11-21 10:54:00",,,"2025-11-21 11:19:00","2025-11-21 11:04:00","2025-11-21 11:19:00","2025-11-21 11:17:21","MU2707","MU2708","短过站","宽体","8a69eb009a363b11019aa09d49ae2666","2025-11-21 10:25:00","2025-11-21 10:18:00","2025-11-21 10:25:00","2025-11-21 10:18:00","8a69eb009a363b11019aa09d49af26ef","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","T1",,"15","15",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa3ccf1d77453","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 10:18:00","2025-11-21 10:18:00","2025-11-21 10:54:00","2025-11-21 10:54:00",,,"2025-11-21 11:19:00","2025-11-21 11:04:00","2025-11-21 11:19:00","2025-11-21 11:17:21","MU2707","MU2708","短过站","宽体","8a69eb009a363b11019aa09d49ae2666","2025-11-21 10:25:00","2025-11-21 10:18:00","2025-11-21 10:25:00","2025-11-21 10:18:00","8a69eb009a363b11019aa09d49af26ef","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","T1",,"15","15",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa3ccf1d87454","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 10:18:00","2025-11-21 10:18:00","2025-11-21 10:54:00","2025-11-21 10:54:00",,,"2025-11-21 11:19:00","2025-11-21 11:04:00","2025-11-21 11:19:00","2025-11-21 11:17:21","MU2707","MU2708","短过站","宽体","8a69eb009a363b11019aa09d49ae2666","2025-11-21 10:25:00","2025-11-21 10:18:00","2025-11-21 10:25:00","2025-11-21 10:18:00","8a69eb009a363b11019aa09d49af26ef","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","2025-11-21 11:25:00","T1",,"15","15",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa3e8710c78a4","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 12:02:00","2025-11-21 12:02:00","2025-11-21 12:38:00","2025-11-21 12:38:00",,,"2025-11-21 12:57:24","2025-11-21 12:42:00","2025-11-21 12:55:46","2025-11-21 12:52:12","CA1505","CA1506","短过站","窄体","8a69eb009a363b11019aa09d49ae26a3","2025-11-21 11:55:00","2025-11-21 12:02:00","2025-11-21 11:55:00","2025-11-21 12:02:00","8a69eb009a363b11019aa09d49ae265e","2025-11-21 12:45:00","2025-11-21 12:45:00","2025-11-21 12:45:00","2025-11-21 12:45:00","T1",,"9","9",,"",,,,,,"进",,"0",,,,"Y"
"8a69cc739a4879aa019aa3e8710c78a5","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21 12:02:00","2025-11-21 12:02:00","2025-11-21 12:38:00","2025-11-21 12:38:00",,,"2025-11-21 12:57:24","2025-11-21 12:42:00","2025-11-21 12:55:46","2025-11-21 12:52:12","CA1505","CA1506","短过站","窄体","8a69eb009a363b11019aa09d49ae26a3","2025-11-21 11:55:00","2025-11-21 12:02:00","2025-11-21 11:55:00","2025-11-21 12:02:00","8a69eb009a363b11019aa09d49ae265e","2025-11-21 12:45:00","2025-11-21 12:45:00","2025-11-21 12:45:00","2025-11-21 12:45:00","T1",,"9","9",,"",,,,,,"进",,"0",,,,"Y"
