"任务ID","任务定义ID","任务名称","任务日期","任务开始时间","任务时长","进/出港","到达航班ID","到达航班预达时间","到达航班计划到达时间","出发航班ID","出发航班预离时间","出发航班计划预离时间","到达航班号","出发航班号","航班类型","任务资质要求","航站楼","区域","机位","其他位置信息","任务是否允许双机","任务是否必须派工","任务是否为难保障任务","关联任务ID","员工编号","车牌号"
"8a69df6f9a4879a7019aa0b2d6f65066","08e23935032643538dc958a1877804fd","分拣","2025-11-21","2025-11-21 05:00:00",360,,,,,,,,,,,"装卸资质",,,,,"N","N","N",,,
"8a69df6f9a4879a7019aa0b2d6f85076","5d2a369b0b0c4cafa9aa7d5ebc6a61ff","分拣","2025-11-21","2025-11-21 07:00:00",360,,,,,,,,,,,"装卸资质",,,,,"N","N","N",,,
"8a69df6f9a4879a7019aa169255f2050","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 14:04:00",36,"进","8a69eb009a363b11019aa09d49ae26af","2025-11-21 14:04:00","2025-11-21 14:20:00","8a69eb009a363b11019aa09d49ae2650","2025-11-21 15:20:00","2025-11-21 15:20:00","MU2467","MU2468","短过站","","T1",,"2",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169255f2051","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 14:04:00",36,"进","8a69eb009a363b11019aa09d49ae26af","2025-11-21 14:04:00","2025-11-21 14:20:00","8a69eb009a363b11019aa09d49ae2650","2025-11-21 15:20:00","2025-11-21 15:20:00","MU2467","MU2468","短过站","","T1",,"2",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925602052","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 14:04:00",36,"进","8a69eb009a363b11019aa09d49ae26af","2025-11-21 14:04:00","2025-11-21 14:20:00","8a69eb009a363b11019aa09d49ae2650","2025-11-21 15:20:00","2025-11-21 15:20:00","MU2467","MU2468","短过站","","T1",,"2",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692478199e","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 07:10:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26b2","2025-11-21 08:10:00","2025-11-21 08:10:00",,"EU2739","始发","","T1",,"21",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692478199f","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 07:10:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26b2","2025-11-21 08:10:00","2025-11-21 08:10:00",,"EU2739","始发","","T1",,"21",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169247819a0","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 07:10:00",30,"出",,,,"8a69eb009a363b11019aa09d49ae26b2","2025-11-21 08:10:00","2025-11-21 08:10:00",,"EU2739","始发","","T1",,"21",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692478199b","3f5c6620955c46f894f986e7b539b08f","出港押运","2025-11-21","2025-11-21 07:40:00",15,"出",,,,"8a69eb009a363b11019aa09d49ae26b2","2025-11-21 08:10:00","2025-11-21 08:10:00",,"EU2739","始发","押运","T1",,"21",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692587210f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 19:40:00",36,"进","8a69eb009a363b11019aa09d49ae26b5",,"2025-11-21 19:40:00","8a69eb009a363b11019aa09d49af26c7","2025-11-21 20:45:00","2025-11-21 20:45:00","G54285","G54286","短过站","","T1",,"17",,"Y","Y","N",,,
