"任务ID","任务定义ID","任务名称","舱位","任务日期","任务开始时间","任务时长","进/出港","到达航班ID","到达航班预达时间","到达航班计划到达时间","出发航班ID","出发航班预离时间","出发航班计划预离时间","到达航班号","出发航班号","航班类型","机型类型","任务资质要求","任务班组资质要求","任务所需车辆类型","航站楼","关联区域","分区","机位","登机口","其他位置信息","任务是否允许双机","任务是否必须派工","任务是否为难保障任务","关联任务ID","任务装卸货量","任务装卸统计","任务装卸件数","任务需指派的员工岗位","任务需指派的班次","任务需指派的设备名称","任务最大重叠时间","任务对应的航班所需最少人数","服务项"
"8a69ec969a4879bc019aa5a4aeb76e90","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5a4aeb76e91","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5a4aeb76e92","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16925db2382","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16925db2383","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16925db2384","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:39:00",36,"进","8a69eb009a363b11019aa09d49af26c2","2025-11-21 17:39:00","2025-11-21 18:05:00","8a69eb009a363b11019aa09d49af26f3","2025-11-21 18:55:00","2025-11-21 18:55:00","FU6596","FU6665","短过站","窄体","","装卸资质",,"T1",,,"18","18",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69cc739a4879aa019aa52d8cd22ef0","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69cc739a4879aa019aa52d8cd22ef1","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69cc739a4879aa019aa52d8cd22ef2","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16921ec06f6","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16921ec06f7","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16921ec06f8","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:42:00",36,"进","8a69eb009a363b11019aa09d49af26da","2025-11-21 17:42:00","2025-11-21 17:50:00","8a69eb009a363b11019aa09d49ae2654","2025-11-21 18:55:00","2025-11-21 18:55:00","CA1859","CA1860","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa4ec4f8a30bc","d39636f6f7374cb4933ad004d77246f1","出港装机",,"2025-11-21","2025-11-21 17:05:00",55,"出","8a69eb009a363b11019aa09d49b0272e","2025-11-21 16:17:00","2025-11-21 16:40:00","8a69eb009a363b11019aa09d49af26fb","2025-11-21 18:05:00","2025-11-21 18:05:00","SC2203","SC2204","长过站","窄体","","装卸资质",,"T1",,,"16","16",,"Y","Y","N",,"0","0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa4ec4f8a30bd","d39636f6f7374cb4933ad004d77246f1","出港装机",,"2025-11-21","2025-11-21 17:05:00",55,"出","8a69eb009a363b11019aa09d49b0272e","2025-11-21 16:17:00","2025-11-21 16:40:00","8a69eb009a363b11019aa09d49af26fb","2025-11-21 18:05:00","2025-11-21 18:05:00","SC2203","SC2204","长过站","窄体","","装卸资质",,"T1",,,"16","16",,"Y","Y","N",,"0","0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa4ec4f8a30be","d39636f6f7374cb4933ad004d77246f1","出港装机",,"2025-11-21","2025-11-21 17:05:00",55,"出","8a69eb009a363b11019aa09d49b0272e","2025-11-21 16:17:00","2025-11-21 16:40:00","8a69eb009a363b11019aa09d49af26fb","2025-11-21 18:05:00","2025-11-21 18:05:00","SC2203","SC2204","长过站","窄体","","装卸资质",,"T1",,,"16","16",,"Y","Y","N",,"0","0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169235e1190","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","宽体","","装卸资质",,"T1",,,"8","8",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169235e1191","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","宽体","","装卸资质",,"T1",,,"8","8",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169235e1192","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","宽体","","装卸资质",,"T1",,,"8","8",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16924631906","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:37:00",36,"进","8a69eb009a363b11019aa09d49b0272f","2025-11-21 16:37:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49af26fc","2025-11-21 17:30:00","2025-11-21 17:30:00","CZ6917","CZ6918","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16924631907","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:37:00",36,"进","8a69eb009a363b11019aa09d49b0272f","2025-11-21 16:37:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49af26fc","2025-11-21 17:30:00","2025-11-21 17:30:00","CZ6917","CZ6918","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16924631908","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:37:00",36,"进","8a69eb009a363b11019aa09d49b0272f","2025-11-21 16:37:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49af26fc","2025-11-21 17:30:00","2025-11-21 17:30:00","CZ6917","CZ6918","短过站","窄体","","装卸资质",,"T1",,,"6","6",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5651eaa60e7","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5651eaa60e8","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5651eab60e9","321db65919d042cca0a4365bd26e4f01","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169222808b2","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169222808b3","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa169222808b4","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 16:32:00",36,"进","8a69eb009a363b11019aa09d49ad262a","2025-11-21 16:32:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49ad2629","2025-11-21 17:45:00","2025-11-21 17:45:00","9C7302","9C7301","短过站","窄体","","装卸资质",,"T1",,,"32","32",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5a59e006eb3","822e7f3b408046b4a17632c30823c585","进港卸机",,"2025-11-21","2025-11-21 17:46:00",30,"进","8a69eb009a363b11019aa09d49ad263c","2025-11-21 17:46:00","2025-11-21 18:15:00","8a69eb009a363b11019aa09d49ad263d","2025-11-21 19:20:00","2025-11-21 19:20:00","AQ1321","AQ1322","短过站","窄体","","装卸资质",,"T1",,,"17","17",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5a59e006eb4","822e7f3b408046b4a17632c30823c585","进港卸机",,"2025-11-21","2025-11-21 17:46:00",30,"进","8a69eb009a363b11019aa09d49ad263c","2025-11-21 17:46:00","2025-11-21 18:15:00","8a69eb009a363b11019aa09d49ad263d","2025-11-21 19:20:00","2025-11-21 19:20:00","AQ1321","AQ1322","短过站","窄体","","装卸资质",,"T1",,,"17","17",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69ec969a4879bc019aa5a59e006eb5","822e7f3b408046b4a17632c30823c585","进港卸机",,"2025-11-21","2025-11-21 17:46:00",30,"进","8a69eb009a363b11019aa09d49ad263c","2025-11-21 17:46:00","2025-11-21 18:15:00","8a69eb009a363b11019aa09d49ad263d","2025-11-21 19:20:00","2025-11-21 19:20:00","AQ1321","AQ1322","短过站","窄体","","装卸资质",,"T1",,,"17","17",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16923bd1449","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:00:00",36,"进","8a69eb009a363b11019aa09d49ae2669","2025-11-21 17:00:00","2025-11-21 17:05:00","8a69eb009a363b11019aa09d49af26c5","2025-11-21 17:55:00","2025-11-21 17:55:00","ZH9367","ZH9368","短过站","窄体","","装卸资质",,"T1",,,"9","9",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16923bd144a","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:00:00",36,"进","8a69eb009a363b11019aa09d49ae2669","2025-11-21 17:00:00","2025-11-21 17:05:00","8a69eb009a363b11019aa09d49af26c5","2025-11-21 17:55:00","2025-11-21 17:55:00","ZH9367","ZH9368","短过站","窄体","","装卸资质",,"T1",,,"9","9",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
"8a69df6f9a4879a7019aa16923be144b","ea06cd8b2378496791565af100607f07","进港卸机",,"2025-11-21","2025-11-21 17:00:00",36,"进","8a69eb009a363b11019aa09d49ae2669","2025-11-21 17:00:00","2025-11-21 17:05:00","8a69eb009a363b11019aa09d49af26c5","2025-11-21 17:55:00","2025-11-21 17:55:00","ZH9367","ZH9368","短过站","窄体","","装卸资质",,"T1",,,"9","9",,"Y","Y","N",,,"0",,,,,,"3","装卸服务"
