任务ID,任务名称,任务类型,最早开始时间,最晚结束时间,任务时长,实际开始时间,实际结束时间,需要人数,已分配人数,是否已分配,是否缺人,分配的员工ID
8a69df6f9a4879a7019aa0b2d6f65066,分拣,0,05:00,11:00,21600,05:00,11:00,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa0b2d6f85076,分拣,0,07:00,13:00,21600,07:00,13:00,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa16921600401,进港卸机,0,18:40,19:25,2160,18:40,19:16,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa16921600402,进港卸机,0,18:40,19:25,2160,18:40,19:16,3,3,是,否,8a69d1308b362afd018b5b907dd0007f;8a69d1308b362afd018b5b907dac0021;8a69d1308b362afd018b5b907db5002e
8a69df6f9a4879a7019aa16921600403,进港卸机,0,18:40,19:25,2160,18:40,19:16,3,3,是,否,8a69d1308b362afd018b5b907dce007a;8a69d1308b362afd018b5b907dbd003a;8a69d1308b362afd018b5b907db3002b
8a69df6f9a4879a7019aa16921a404e0,进港卸机,0,00:35,01:05,1800,00:35,01:05,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16921a504e1,进港卸机,0,00:35,01:05,1800,00:35,01:05,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16921a504e2,进港卸机,0,00:35,01:05,1800,00:35,01:05,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa16921ab0512,进港卸机,0,20:05,20:50,2160,20:05,20:41,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa16921ab0513,进港卸机,0,20:05,20:50,2160,20:05,20:41,3,3,是,否,8a69d1308b362afd018b5b907dd0007f;8a69d1308b362afd018b5b907dac0021;8a69d1308b362afd018b5b907db5002e
8a69df6f9a4879a7019aa16921ab0514,进港卸机,0,20:05,20:50,2160,20:05,20:41,3,3,是,否,8a69d1308b362afd018b5b907dce007a;8a69d1308b362afd018b5b907dbd003a;8a69d1308b362afd018b5b907db3002b
8a69df6f9a4879a7019aa16921df0695,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16921df0696,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16921df0697,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa16921df0698,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16921e00699,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16921e0069a,进港卸机,0,19:35,20:40,2160,19:35,20:11,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922440984,进港卸机,0,19:40,20:25,2160,19:40,20:16,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922440985,进港卸机,0,19:40,20:25,2160,19:40,20:16,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16922440986,进港卸机,0,19:40,20:25,2160,19:40,20:16,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa169225d0a3e,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa169225d0a3f,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dd0007f;8a69d1308b362afd018b5b907dac0021;8a69d1308b362afd018b5b907db5002e
8a69df6f9a4879a7019aa169225e0a40,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dce007a;8a69d1308b362afd018b5b907dbd003a;8a69d1308b362afd018b5b907db3002b
8a69df6f9a4879a7019aa16922740ae2,进港卸机,0,00:50,01:20,1800,00:50,01:20,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922740ae3,进港卸机,0,00:50,01:20,1800,00:50,01:20,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922740ae4,进港卸机,0,00:50,01:20,1800,00:50,01:20,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa169228a0b86,进港卸机,0,01:20,01:50,1800,01:20,01:50,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa169228a0b87,进港卸机,0,01:20,01:50,1800,01:20,01:50,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa169228a0b88,进港卸机,0,01:20,01:50,1800,01:20,01:50,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa169228b0b8b,进港押运,0,01:50,02:15,1500,01:50,02:15,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16922c40d2a,进港卸机,0,22:55,00:05,2160,00:00,00:00,3,0,否,否,
8a69df6f9a4879a7019aa16922c40d2b,进港卸机,0,22:55,00:05,2160,00:00,00:00,3,0,否,否,
8a69df6f9a4879a7019aa16922c40d2c,进港卸机,0,22:55,00:05,2160,00:00,00:00,3,0,否,否,
8a69df6f9a4879a7019aa16922db0dd1,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922db0dd2,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16922db0dd3,进港卸机,0,00:40,01:10,1800,00:40,01:10,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16923210fd4,进港卸机,0,20:10,20:40,1800,20:10,20:40,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16923210fd5,进港卸机,0,20:10,20:40,1800,20:10,20:40,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16923210fd6,进港卸机,0,20:10,20:40,1800,20:10,20:40,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa16923351065,进港卸机,0,20:45,21:30,2160,20:45,21:21,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16923351066,进港卸机,0,20:45,21:30,2160,20:45,21:21,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16923351067,进港卸机,0,20:45,21:30,2160,20:45,21:21,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa169233f10ae,进港卸机,0,23:15,23:45,1800,23:15,23:45,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa169233f10af,进港卸机,0,23:15,23:45,1800,23:15,23:45,3,3,是,否,8a69d1308b362afd018b5b907dd0007f;8a69d1308b362afd018b5b907dac0021;8a69d1308b362afd018b5b907db5002e
8a69df6f9a4879a7019aa169233f10b0,进港卸机,0,23:15,23:45,1800,23:15,23:45,3,3,是,否,8a69d1308b362afd018b5b907dce007a;8a69d1308b362afd018b5b907dbd003a;8a69d1308b362afd018b5b907db3002b
8a69df6f9a4879a7019aa1692353113d,进港卸机,0,21:00,21:55,2160,21:00,21:36,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa1692353113e,进港卸机,0,21:00,21:55,2160,21:00,21:36,3,3,是,否,8a69d1308b362afd018b5b907dd0007f;8a69d1308b362afd018b5b907dac0021;8a69d1308b362afd018b5b907db5002e
8a69df6f9a4879a7019aa1692353113f,进港卸机,0,21:00,21:55,2160,21:00,21:36,3,3,是,否,8a69d1308b362afd018b5b907dce007a;8a69d1308b362afd018b5b907dbd003a;8a69d1308b362afd018b5b907db3002b
8a69df6f9a4879a7019aa16923e61576,进港卸机,0,23:40,24:10,1800,23:40,24:10,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
8a69df6f9a4879a7019aa16923e61577,进港卸机,0,23:40,24:10,1800,23:40,24:10,3,3,是,否,8a69d1308b362afd018b5b907db5002f;8a69d1308b362afd018b5b907dc80063;8a69d1308b362afd018b5b907dc40054
8a69df6f9a4879a7019aa16923e71578,进港卸机,0,23:40,24:10,1800,23:40,24:10,3,3,是,否,8a69c2b08ccfe40a018cf31fc80007a9;8a69d1308b362afd018b5b907db10028;8a69d1308b362afd018b5b907dc2004d
8a69df6f9a4879a7019aa16923e7157b,进港押运,0,00:10,00:35,1500,00:10,00:35,3,3,是,否,8a69d1308b362afd018b5b907dc2004c;8a69d1308b362afd018b5b907dbb0038;8a69f0ca8b362aff018b5b934d430005
8a69df6f9a4879a7019aa169240a167b,进港卸机,0,21:40,22:25,2160,21:40,22:16,3,3,是,否,8a69d1308b362afd018b5b907dbf0043;8a69d1308b362afd018b5b907dc3004f;8a69d1308b362afd018b5b907dcf007c
